C	first I need to take this apart
A	is that with your magic Lego taker aparter?
C	yeah
A	yes
C	I call it a
A	so
B	mm
A	I wouldn't so just
B	no
A	but just how much chocolate did you consume sneakily?
C	she consumed chocolate sneakily?
A	well you had an Easter nest for your breakfast
B	mum I don't want to talk about it
A	oh okay well I think it's quite funny
C	it hasn't happened to me
A	oh what was that flip
C	has it actually happened to me?
A	er I don't know if that has but lots of other things have so erm
C	did you manage to take it apart?
A	yeah hang on what were you asking me to do? where was it?
C	yes please
A	okay so
B	mm
A	what's the book that you're reading?
A	do you want to talk
B	well it's really nice because it's got loads and loads of chapters so it's got all the way to ninety-three chapters
A	has it?
C	so it's not a brief
B	yes
A	ninety-three?
B	it's clever Polly clever Polly and stupid wolf little Polly riding hood the invisible the invisible wolf wanted a Polly huff puff Mandy's child the wolf in the zoo Polly goes for a walk the seventh little kid the
A	okay
B	the wolf in disguise a short story and it's really fun because the wolf doesn't know anything because first he planted
A	he's a bit stupid isn't he?
B	a pip of a grape and he thought it were erm and he thought it would grow in three or two or three days but it didn't so he
A	uhu
B	and I thought that was quite funny because he didn't know that it wasn't
A	oh okay
B	but
A	what's he trying to do all the time then?
B	he's trying to eat Polly
A	yeah
B	except in one of them where he's locked up in a zoo he's really upset
B	yep
A	does she?
B	but he
A	yeah well but you could argue that he's a wolf so he can't help I mean wolves in real life don't actually eat
B	but
A	phew
C	can you take this apart as well?
A	she's a very clever yes I can take that apart love she's a very clever lady isn't she the little girl
B	but sometimes
A	oh
B	and then she heard a smash of eggs because her mother was
C	don't wolves have teeth?
A	sorry
B	and it was and I thought well
A	I can't open I can't open do that one
B	but it doesn't really
C	doh
B	she should tell her mother that she should only open she should only
A	why is she opening a door to stop eggs breaking I don't get that?
B	no she isn't opening a door
A	oh
B	because her mother had some eggs
A	okay
B	and
A	oh I see oh but it wasn't actually her mother
B	yeah
A	mm
B	he meets a sticky end
A	does he?
B	well he does give up
A	quite right too too much hassle
B	because he has to count all the all the daisies in the world to make sure that he will get
C	all the what?
B	all the daisies in the world
A	daisies?
B	yes
A	does he? why?
B	because
A	is that punishment then?
B	nope she's just clever the wolf is
A	oh what before he can eat her?
B	I'll get her
A	oh
B	I'll get her I won't get her
B	it's like she loves me she loves me not
A	yeah
B	what David
A	Person Controller or whatever it's called?
C	Person Controller
A	Person Controller
B	I don't know
A	I don't think you have I think you got near to the end
B	yeah
A	I'm really pleased erm about the Helen Moss book the third one that Mrs Loveday is back in because I was sad she wasn't in the second one
B	she was in the second one
A	she wasn't
B	I remember when she said now erm like holding hands
C	she was
A	in the second one?
B	yes she told
C	yes she thought that she thought she saw Savanna and
A	oh I missed that bit maybe I was asleep when you read that chapter
C	yep
A	well she wasn't in it very much though was she?
C	no
A	and I really like her
C	why because she's a because she always gets things wrong?
A	yeah cos she says phrases in a weird way
B	like the elephant of
C	elephant of surprise is just
A	yep
B	that spider is still there
A	what spider?
C	that one
A	oh hello spider
C	he's not bothering me which is why I don't get him out
A	I've taken him out sorry
C	it doesn't matter at least he can be free
[ANNOTATION]	the spider can be free	Entailment
A	yep I can't think he's having a lot of fun being with the Lego
C	obviously spiders would have fun being with the Lego
A	well I suppose they could make a a really nice house
C	or web for themselves
A	well they don't need anything else to help them make a web
C	oh yeah they just
A	okay
C	it's a saw
A	good look it's getting to be a bit sunny
C	wow I love this piece
A	it's very nice
[ANNOTATION]	the spider needs help with building the web	Contradiction
C	what does it say?
A	can you put the green piece in the black?
C	oh
[ANNOTATION]	the spider is sick	Neutral
A	there's a bit of green I've put in the black
C	ow
A	which you can see
C	sometimes once I put some green in the black to brighten it up a bit
A	wheels should go on there
C	yeah and doors
A	oh
C	yeah
A	with the wheels?
C	yeah
[ANNOTATION]	green makes it darker	Contradiction
A	did I?
C	yes you did
A	I've just been putting them in the colour things
C	yeah
A	okay no no that will help them stand out a bit more
[ANNOTATION]	the spider likes the colour	Neutral
C	you said that erm you said that because last time because it was very hard to find them
A	yeah okay no I agree that's fine
A	I do agree with myself yes I'm always right
C	mm that's arguable
C	that's okay if you have to pop to the gym today
A	I won't be
C	when it's sunny and not not freezing cold
B	yep
C	where should I put it?
A	speak up
C	where should I put it?
A	say yes
B	on the
A	do you want this kept?
B	mm
A	on the window sill right any Lego models that are staying
A	yes of course when it's sunny it would be nice
C	oh
A	that's what I meant because it would be difficult to do it on the weekends obviously well we can't when you are with dad
C	where does this go?
A	when you went to sleep?
C	yeah
A	well what mister I'm always going to be awake because I'm not tired at all? and then you went to sleep and then had a massive sleep
C	no I
A	well it didn't take you that long to go to sleep
C	right mum which one should we focus on doing?
A	I'm just doing all of them darling
C	yeah but if we focus on one and then that's one less to worry about
A	what is this?
C	that is kind of thinking
A	do you want this kept?
C	yeah yes because it's since it's a mini set
A	okay
A	should we keep that as it is?
C	obviously
B	I've got an idea that could be for special models
A	well that's alright it can yeah it can go in there that's fine
C	yeah we could make a special model tin
B	I made that mum
A	do you want this kept?
B	I think that'd be too long
C	yeah
A	I still haven't found this pesky piece though
B	mm mm mm mm
A	what's your favourite book that you've read so far
C	oh
A	sorry?
B	this book
A	is that the first time you've read it?
B	no
A	I didn't think so
B	the second time I've read it
C	right mum one question
A	mm
C	are we still recording?
A	yep
C	really?
A	yep
C	oh
A	why?
A	we are our fascinating
C	we can stop now
A	okay
